Source,Date,Time,Model,Type,Study Date Range,Study Time Range,Longitude,Latitude,Unit
Vasari v1.0,6/13/2014,7:48 PM,SolarRadiationToPanels_Sample.rvt,Average,"3/20/2010,3/20/2010","12:00 PM,12:00 PM",-71.0329971313477,42.2130012512207,kWh/mÂ²

Analysis point index,Insolation value,point x,point y,point z,normal x,normal y,normal z
1,0.01509508228302,-23.5358290828857,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
2,0.0161856803894043,-23.5358290828857,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
3,0.0178586940765381,-23.5358290828857,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
4,0.0199529037475586,-23.5358290828857,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
5,0.428494262695312,-23.5358290828857,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
6,0.431045288085938,-23.5358290828857,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
7,0.434833953857422,-23.5358290828857,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
8,0.438561767578125,-23.5358290828857,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
9,0.442552032470703,-23.5358290828857,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
10,0.445413208007813,-23.5358290828857,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
11,0.448109710693359,-23.5358290828857,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
12,0.448109710693359,-23.5358290828857,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
13,0.448109710693359,-23.5358290828857,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
14,0.448109710693359,-23.5358290828857,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
15,0.448109710693359,-23.5358290828857,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
16,0.448109710693359,-23.5358290828857,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
17,0.448109710693359,-23.5358290828857,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
18,0.0151450500488281,-19.5645309964255,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
19,0.0161393623352051,-19.5645309964255,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
20,0.017410623550415,-19.5645309964255,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
21,0.0195168437957764,-19.5645309964255,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
22,0.428100280761719,-19.5645309964255,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
23,0.430707977294922,-19.5645309964255,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
24,0.434270965576172,-19.5645309964255,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
25,0.438538299560547,-19.5645309964255,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
26,0.442535247802734,-19.5645309964255,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
27,0.445323211669922,-19.5645309964255,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
28,0.448109710693359,-19.5645309964255,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
29,0.448109710693359,-19.5645309964255,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
30,0.448109710693359,-19.5645309964255,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
31,0.448109710693359,-19.5645309964255,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
32,0.448109710693359,-19.5645309964255,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
33,0.448109710693359,-19.5645309964255,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
34,0.448109710693359,-19.5645309964255,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
35,0.0146672525405884,-15.5932329099652,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
36,0.0157344999313354,-15.5932329099652,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
37,0.0173396282196045,-15.5932329099652,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
38,0.0195685291290283,-15.5932329099652,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
39,0.428025604248047,-15.5932329099652,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
40,0.430717742919922,-15.5932329099652,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
41,0.434788452148438,-15.5932329099652,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
42,0.438573486328125,-15.5932329099652,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
43,0.442560424804687,-15.5932329099652,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
44,0.445330596923828,-15.5932329099652,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
45,0.448109710693359,-15.5932329099652,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
46,0.448109710693359,-15.5932329099652,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
47,0.448109710693359,-15.5932329099652,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
48,0.448109710693359,-15.5932329099652,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
49,0.448109710693359,-15.5932329099652,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
50,0.448109710693359,-15.5932329099652,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
51,0.448109710693359,-15.5932329099652,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
52,0.0148017911911011,-11.6219348235049,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
53,0.0159153614044189,-11.6219348235049,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
54,0.0175744495391846,-11.6219348235049,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
55,0.0207174072265625,-11.6219348235049,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
56,0.429061614990234,-11.6219348235049,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
57,0.431744384765625,-11.6219348235049,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
58,0.434970367431641,-11.6219348235049,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
59,0.438760711669922,-11.6219348235049,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
60,0.442857391357422,-11.6219348235049,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
61,0.445416687011719,-11.6219348235049,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
62,0.448109710693359,-11.6219348235049,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
63,0.448109710693359,-11.6219348235049,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
64,0.448109710693359,-11.6219348235049,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
65,0.448109710693359,-11.6219348235049,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
66,0.448109710693359,-11.6219348235049,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
67,0.448109710693359,-11.6219348235049,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
68,0.448109710693359,-11.6219348235049,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
69,0.0163802394866943,-7.65063673704467,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
70,0.0172072696685791,-7.65063673704467,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
71,0.0188833980560303,-7.65063673704467,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
72,0.0209118556976318,-7.65063673704467,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
73,0.429339935302734,-7.65063673704467,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
74,0.432440521240234,-7.65063673704467,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
75,0.435678955078125,-7.65063673704467,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
76,0.439333862304688,-7.65063673704467,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
77,0.443027191162109,-7.65063673704467,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
78,0.445441162109375,-7.65063673704467,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
79,0.448109710693359,-7.65063673704467,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
80,0.448109710693359,-7.65063673704467,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
81,0.448109710693359,-7.65063673704467,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
82,0.448109710693359,-7.65063673704467,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
83,0.448109710693359,-7.65063673704467,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
84,0.448109710693359,-7.65063673704467,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
85,0.448109710693359,-7.65063673704467,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
86,0.0189745941162109,-3.67933865058441,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
87,0.0199128265380859,-3.67933865058441,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
88,0.021484884262085,-3.67933865058441,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
89,0.0233752155303955,-3.67933865058441,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
90,0.431570709228516,-3.67933865058441,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
91,0.433831634521484,-3.67933865058441,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
92,0.436821319580078,-3.67933865058441,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
93,0.440347045898437,-3.67933865058441,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
94,0.443565856933594,-3.67933865058441,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
95,0.445799163818359,-3.67933865058441,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
96,0.448109710693359,-3.67933865058441,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
97,0.448109710693359,-3.67933865058441,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
98,0.448109710693359,-3.67933865058441,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
99,0.448109710693359,-3.67933865058441,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
100,0.448109710693359,-3.67933865058441,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
101,0.448109710693359,-3.67933865058441,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
102,0.448109710693359,-3.67933865058441,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
103,0.0206685409545898,0.29195943587586,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
104,0.0217768535614014,0.29195943587586,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
105,0.0232277965545654,0.29195943587586,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
106,0.0250893325805664,0.29195943587586,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
107,0.433331695556641,0.29195943587586,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
108,0.435630432128906,0.29195943587586,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
109,0.438558776855469,0.29195943587586,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
110,0.441631042480469,0.29195943587586,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
111,0.444268798828125,0.29195943587586,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
112,0.446239196777344,0.29195943587586,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
113,0.448109710693359,0.29195943587586,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
114,0.448109710693359,0.29195943587586,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
115,0.448109710693359,0.29195943587586,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
116,0.448109710693359,0.29195943587586,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
117,0.448109710693359,0.29195943587586,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
118,0.448109710693359,0.29195943587586,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
119,0.448109710693359,0.29195943587586,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
120,0.429425201416016,4.26325752233612,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
121,0.430178894042969,4.26325752233612,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
122,0.431528045654297,4.26325752233612,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
123,0.433291168212891,4.26325752233612,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
124,0.435352386474609,4.26325752233612,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
125,0.437529937744141,4.26325752233612,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
126,0.440151519775391,4.26325752233612,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
127,0.442763549804688,4.26325752233612,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
128,0.444875427246094,4.26325752233612,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
129,0.446637237548828,4.26325752233612,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
130,0.448109710693359,4.26325752233612,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
131,0.448109710693359,4.26325752233612,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
132,0.448109710693359,4.26325752233612,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
133,0.448109710693359,4.26325752233612,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
134,0.448109710693359,4.26325752233612,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
135,0.448109710693359,4.26325752233612,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
136,0.448109710693359,4.26325752233612,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
137,0.428469329833984,8.23455560879638,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
138,0.429874847412109,8.23455560879638,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
139,0.431313262939453,8.23455560879638,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
140,0.433670806884766,8.23455560879638,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
141,0.435759796142578,8.23455560879638,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
142,0.438129821777344,8.23455560879638,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
143,0.440593383789062,8.23455560879638,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
144,0.443059295654297,8.23455560879638,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
145,0.44500927734375,8.23455560879638,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
146,0.44675732421875,8.23455560879638,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
147,0.448109710693359,8.23455560879638,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
148,0.448109710693359,8.23455560879638,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
149,0.448109710693359,8.23455560879638,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
150,0.448109710693359,8.23455560879638,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
151,0.448109710693359,8.23455560879638,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
152,0.448109710693359,8.23455560879638,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
153,0.448109710693359,8.23455560879638,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
154,0.428829833984375,12.2058536952567,-7.51987425918188,1.92663668361198,0,-0.9955599,0.09413037
155,0.430355133056641,12.2058536952567,-7.15554655058574,5.77991005083594,0,-0.9955599,0.09413037
156,0.432119842529297,12.2058536952567,-6.79121884198959,9.6331834180599,0,-0.9955599,0.09413037
157,0.434168823242188,12.2058536952567,-6.42689113339344,13.4864567852839,0,-0.9955599,0.09413037
158,0.436361511230469,12.2058536952567,-6.06256342479729,17.3397301525078,0,-0.9955599,0.09413037
159,0.438618286132813,12.2058536952567,-5.69823571620115,21.1930035197318,0,-0.9955599,0.09413037
160,0.441177154541016,12.2058536952567,-5.333908007605,25.0462768869557,0,-0.9955599,0.09413037
161,0.443762115478516,12.2058536952567,-4.96958029900885,28.8995502541797,0,-0.9955599,0.09413037
162,0.445365661621094,12.2058536952567,-4.6052525904127,32.7528236214037,0,-0.9955599,0.09413037
163,0.447096282958984,12.2058536952567,-4.24092488181656,36.6060969886276,0,-0.9955599,0.09413037
164,0.448109710693359,12.2058536952567,-3.87659717322041,40.4593703558516,0,-0.9955599,0.09413037
165,0.448109710693359,12.2058536952567,-3.51226946462426,44.3126437230755,0,-0.9955599,0.09413037
166,0.448109710693359,12.2058536952567,-3.14794175602811,48.1659170902995,0,-0.9955599,0.09413037
167,0.448109710693359,12.2058536952567,-2.78361404743196,52.0191904575234,0,-0.9955599,0.09413037
168,0.448109710693359,12.2058536952567,-2.41928633883582,55.8724638247474,0,-0.9955599,0.09413037
169,0.448109710693359,12.2058536952567,-2.05495863023967,59.7257371919714,0,-0.9955599,0.09413037
170,0.448109710693359,12.2058536952567,-1.69063092164352,63.5790105591953,0,-0.9955599,0.09413037
